rollno,course_id,risk_score
12CO84,CPC504,34
13CO13,CPC503,34
13CO32,CPC502,34
12CO06,CPC502,34
13CO07,CPC501,34
13CO24,CPC502,33.5333333333
12CO19,CPC502,33
13CO57,CPC503,32.6666666667
13CO24,CPC503,32.6666666667
13CO60,CPC501,32.5
14DCO56,CPC503,32.2857142857
12CO50,CPC504,32
13CO23,CPC503,32
12CO10,CPC503,31
12CO51,CPC501,31
13CO55,CPC501,30.6666666667
11CO35,CPC504,30
13CO16,CPC503,30
12CO19,CPC501,30
12CO50,CPC501,30
14DCO61,CPC501,30
12CO18,CPC501,30
14DCO53,CPC501,30
12CO06,CPC501,30
12CO34,CPC501,30
13CO53,CPC502,29.3333333333
13CO52,CPC501,29.3333333333
14DCO58,CPC501,28.6666666667
13CO55,CPC503,28.5
13CO21,CPC503,28.5
13CO44,CPC502,28
11CO18,CPC502,28
13CO78,CPC501,28
12CO25,CPC503,27.5
13CO13,CPC501,27.3333333333
13CO12,CPC503,27.2333333333
13CO38,CPC503,26
13CO22,CPC502,26
11CO37,CPC503,25
13CO56,CPC501,25
13CO34,CPC503,24.5333333333
12CO51,CPC503,24.5
12CO19,CPC504,24
13CO52,CPC503,24
13CO10,CPC503,24
14DCO52,CPC503,24
12CO33,CPC502,24
13CO29,CPC501,24
11CO18,CPC501,24
14DCO56,CPC501,23.3333333333
14DCO65,CPC503,23
13CO32,CPC503,22
13CO53,CPC503,22
13CO56,CPC503,22
12CO04,CPC502,22
13CO49,CPC501,22
14DCO65,CPC501,22
13CO09,CPC503,21.4666666667
13CO10,CPC502,21.3333333333
13CO28,CPC501,21
13CO14,CPC501,21
11CO37,CPC504,20
14DCO57,CPC503,20
14DCO57,CPC502,20
13CO44,CPC501,20
13CO24,CPC501,20
14DCO52,CPC501,19.1111111111
14DCO57,CPC501,18.5714285714
12CO84,CPC503,18
13CO04,CPC502,18
12CO25,CPC501,18
14DCO66,CPC501,17.8666666667
13CO11,CPC501,17
12CO42,CPC501,16.8
14DCO61,CPC503,16
13CO04,CPC503,16
13CO22,CPC503,16
14DCO65,CPC502,16
12CO10,CPC501,16
13CO30,CPC501,16
11CO54,CPC501,16
12CO33,CPC501,16
13CO21,CPC501,16
13CO09,CPC501,15
13CO25,CPC501,14
13CO34,CPC501,14
13CO12,CPC501,14
12CO04,CPC503,13
12CO42,CPC503,12.6666666667
13CO54,CPC501,12.6666666667
14DCO63,CPC501,11
13CO57,CPC501,10
13CO16,CPC501,10
13CO38,CPC501,8
12CO19,CPC503,6
13CO22,CPC501,6
13CO53,CPC501,2
13CO10,CPC501,0
